,id,text,sentiment_text
0,206967221324,Ha ha LOL would big time. I want to meet this bloke,Ha ha LOL would big time. I want to meet this bloke
1,206970221327,yeah but KDE will use lot of battery power.,yeah but KDE will use lot of battery power.
2,206965221322,"Nadal's carrying an injury, no? will not be at his potent best, I fear! Title #15 beckons Fed",Nadal carrying an injury no will not be at his potent best I fear Title beckons Fed
3,206968221325,i hate it when you feel meh. I had that last week. Its shit,i hate it when you feel meh. I had that last week. Its shit
4,206973221330,This morning. Told my mom I loved her.,This morning. Told my mom I loved her.
5,206966221323,"about the headaches, well... mine decided to make its appearance this weekend and i do not want to take the med again",about the headaches well. mine decided to make its appearance this weekend and i do not want to take the med again
6,206964221321,"that is maddd  I will say some prayers hun, worked for my mum x",that is madd I will say some prayers hun worked for my mum x
7,206971221328,yeah they kinda dragged it for long. Coz of critics they want to give and end to it. Will miss Schofield..,yeah they kinda dragged it for long. Coz of critics they want to give and end to it. Will miss Schofield.
8,206972221329,Just found out via a tweet and quite sad as well.  Not how I want to go at all.   (re.  lost Air France flight),Just found out via tweet and quite sad as well. Not how I want to go at all. re. lost Air France flight
9,206969221326,yay new temp job well done,yay new temp job well done
