,id,text,sentiment_text
0,220685235042,"WOW never seen him before , he is bloody awesome , I think bcoz George won last year however could be bad for him  x",WOW never seen him before he is bloody awesome I think bcoz George won last year however could be bad for him x
1,220686235043,Would you be up to some Katamari multiplayer sometime? I have not got any of the online achievements,Would you be up to some Katamari multiplayer sometime I have not got any of the online achievements
2,220692235049,eww! Though I agree about the community part,eww Though I agree about the community part
3,220688235045,THANKS!!,THANKS
4,220693235050,"I am sad, did not pump me up  though can anything live up to the hype?",I am sad did not pump me up though can anything live up to the hype
5,220689235046,all ive to say....take care!!!,all ive to say.take care
6,220687235044,LOL! just take a picture and put it on fb so i can see. i will get the real thing when i come back. you are GOING CAMPING W/O ME?,LOL just take a picture and put it on fb so i can see. i will get the real thing when i come back. you are GOING CAMPING WO ME
7,220690235047,"G woulday from Australia! I love your movies.  Balled my eyes out in ""Marley and Me"".  cannot wait to see more!",G woulday from Australia I love your movies. Balled my eyes out in Marley and Me. cannot wait to see more
8,220691235048, You know I am keeping an eye on flights to you for each weekend   they just keep filling up., You know I am keeping an eye on flights to you for each weekend they just keep filling up.
9,220684235041,Twilight deffently  New Moon film looks very good also,Twilight deffently New Moon film looks very good also
