,id,text,sentiment_text
0,153256167613,nooo you cannot come to girls night,noo you cannot come to girls night
1,153263167620,"is packing, packing SUCKS so he is forgiven. EW, tweet me when you are home so I know you got there okay  I will worrynow",is packing SUCKS so he is forgiven. EW tweet me when you are home so I know you got there okay I will worrynow
2,153255167612,evannn!!!!  will you follow me please and thank you??!!,evann will you follow me please and thank you
3,153262167619,"my Sandypup died overnight.  She had not been ill or acting any different, so it has been a shock. She was really old, though.",my Sandypup died overnight. She had not been ill or acting any different so it has been a shock. She was really old though.
4,153258167615,nice. Now the pressure's on!,nice. Now the pressure on
5,153260167617,awesome! i'm still trying to get a photo pass from red light mngmnt for DMB but still no luck,awesome im still trying to get a photo pass from red light mngmnt for DMB but still no luck
6,153259167616,night! I am right behind ya,night I am right behind ya
7,153261167618,"My favorites were the Monster Truck fruit snacks. They stopped making them, they hate me.",My favorites were the Monster Truck fruit snacks. They stopped making them they hate me.
8,153257167614, true true. i like this hair better, true. i like this hair better
9,153254167611,Thought you were going to be on tv too - miss you - was looking forward to the summer kick-off!!,Thought you were going to be on tv too miss you was looking forward to the summer kickoff
